demo_id,domain,folder,one_liner,status,returncode,seconds,code_sha256
58,general_relativity,demo-58-emergent-weak-field-gr,"(cd ""demos/general_relativity/demo-58-emergent-weak-field-gr"" && python demo.py)",PASS,0,1.013707,4a573b4927fb8682d04293870edd17e90aa84c972f12da542e448a4eebc9b7be
63,general_relativity,demo-63-gravitational-wave-inspiral-phasing,"(cd ""demos/general_relativity/demo-63-gravitational-wave-inspiral-phasing"" && python demo.py)",PASS,0,0.18868,ac29eabd147832e91543a2f1b2975d222ea526e2536e9c34a63e3fb193b4c37d
68,general_relativity,demo-68-general-relativity-master-flagship,"(cd ""demos/general_relativity/demo-68-general-relativity-master-flagship"" && python demo.py)",PASS,0,1.637593,98e3c3a6c8865c0434d55a38347cb804432d52e62efeb5177ce4b26f1c35a424
65,infinity,demo-65-continuous-lift-paradox,"(cd ""demos/infinity/demo-65-continuous-lift-paradox"" && python demo.py)",PASS,0,2.842617,fbc59e24b80b3f94061e68fa213b7cc6b7b37090d1cb6b14ea0d05f2b4161d3a
67,infinity,demo-67-navier-stokes-master-flagship,"(cd ""demos/infinity/demo-67-navier-stokes-master-flagship"" && python demo.py)",PASS,0,63.104765,4e00a354e960da013f75906cb6ca0071accf045710fb6808a159967fa31d9028
60,quantum,demo-60-quantum-master-flagship,"(cd ""demos/quantum/demo-60-quantum-master-flagship"" && python demo.py)",PASS,0,0.254215,fba4ac6667a7e649d774e3aee773be53362fd17c92af83a116c2122536b660f2
66,quantum_gravity,demo-66-quantum-gravity-master-flagship-v4,"(cd ""demos/quantum_gravity/demo-66-quantum-gravity-master-flagship-v4"" && python demo.py --cert)",PASS,0,0.10304,e19b7bffc95a64eee20d39dd311015a74c9c36f9d3c3f5d43e7c90828bc4d530
72,sm,demo-72-yukawa,"(cd ""demos/sm/demo-72-yukawa"" && python demo.py)",PASS,0,0.136949,a3fbbc7f14770ef32eb551ff70d69e2613429935741a9228b5175af4c22f5b1b
76,sm,demo-76-primorial-yukawa-master-flagship,"(cd ""demos/sm/demo-76-primorial-yukawa-master-flagship"" && python demo.py)",PASS,0,0.186634,8cb834c2124473a177c7a5fd8a20a59035318876f903f8ab7b44eb62a231056f
33,standard_model,demo-33-first-principles-standard-model-sm28-closure,"(cd ""demos/standard_model/demo-33-first-principles-standard-model-sm28-closure"" && python demo.py --cert)",PASS,0,0.561388,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af
37,standard_model,demo-37-math-sm-master-flagship,"(cd ""demos/standard_model/demo-37-math-sm-master-flagship"" && python demo.py)",PASS,0,0.228613,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b
54,standard_model,demo-54-master-flagship-demo,"(cd ""demos/standard_model/demo-54-master-flagship-demo"" && python demo.py)",PASS,0,2.677347,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65
55,standard_model,demo-55-proton-charge-radius,"(cd ""demos/standard_model/demo-55-proton-charge-radius"" && python demo.py)",PASS,0,0.054966,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49
70,standard_model,demo-70-higgs-master-flagship,"(cd ""demos/standard_model/demo-70-higgs-master-flagship"" && python demo.py)",PASS,0,0.750526,22d96168011f931ec65be9e4526037ea35ef55c2107effd54bd42b6d55b9492a
73,standard_model,demo-73-flavor-completion-master-flagship,"(cd ""demos/standard_model/demo-73-flavor-completion-master-flagship"" && python demo.py)",PASS,0,0.167713,33514b94c635ef02f20ed4eaaf8dee9f01b6bf99dec80c9377d8d3a2920ea2a5
40,substrate,demo-40-universe-from-zero,"(cd ""demos/substrate/demo-40-universe-from-zero"" && python demo.py)",PASS,0,0.228168,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4
64,substrate,demo-64-base-gauge-invariance-integer-selector,"(cd ""demos/substrate/demo-64-base-gauge-invariance-integer-selector"" && python demo.py)",PASS,0,0.074004,6c0694a41546b177acc71cc8e29d6ca3395e2c8feacedc5affe2063a4251aca5
